Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250370405000016,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,413,1433,3.47,2.47,525.81,398252.06,714.34,406398.82,297.26,264808.01,618.47,352447.24,NA
250370405000017,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,238,761,3.2,2.62,861.91,1492104.03,903.68,1526817.94,505.28,824823.93,780.03,1059565.5,NA
250370405000018,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,234,795,3.4,2.86,567.12,286195.07,656.97,272442.12,328.87,198211.64,588.6,201882.42,NA
250370405000019,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,200,673,3.37,2.08,630.81,275034.13,681.96,262385.95,399.16,214052.38,610.41,198344.68,NA
250370405000020,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,158,535,3.39,2.29,501.15,154795.55,573.78,135416.07,301.16,140270.7,511.64,130580.73,NA
250370405000021,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,375,1326,3.54,3.37,539.36,578744.17,628.14,618362.47,299.54,267888.67,507.4,348439.01,NA
250370405000022,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,312,1018,3.26,2.85,563.75,202320.72,612.86,189805.2,320.88,153056,527.42,142620.68,NA
250370405000023,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,234,793,3.39,2.69,427.91,95264.06,476.81,82773.76,253.09,89133.74,394.45,83143.78,NA
250370405000024,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,248,840,3.39,3.27,278.95,146612.45,384.33,161582,194.69,90192.82,348.76,107881.84,NA
250370405000025,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,233,700,3,1.81,901.41,787600.59,929.33,786041.85,558.76,718396.81,823.01,840956.12,NA
250370405000026,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,256,832,3.25,3.17,530.91,234440.94,580.83,227460.49,343.87,171622.68,518.03,168316.86,NA
