ID,CD_GEOCODI,TIPO,CD_GEOCODB,NM_BAIRRO,CD_GEOCODS,NM_SUBDIST,CD_GEOCODD,NM_DISTRIT,CD_GEOCODM,NM_MUNICIP,NM_MICRO,NM_MESO
33883,250370405000041,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33884,250370405000042,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33885,250370405000043,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33886,250370405000044,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33887,250370405000045,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33888,250370405000046,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33889,250370405000047,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33890,250370405000048,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33891,250370405000049,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33892,250370405000050,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33893,250370405000051,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33894,250370405000052,RURAL,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33895,250370405000053,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33896,250370405000054,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33897,250370405000055,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33898,250370405000056,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33899,250370405000057,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33900,250370405000058,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33901,250370405000059,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33902,250370405000060,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33903,250370405000061,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33904,250370405000062,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33905,250370405000063,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33906,250370405000064,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
